country,period,usable_pct,unusable_pct,n
All,2011-2016,82.46378993267068,17.536211,298244
All,2017-2022,83.15612148541604,16.843878,268419
All,All,82.79431383274868,17.205687,566663
Bangladesh,2011-2016,88.00235072482408,11.997649,16639
Bangladesh,2017-2022,67.69812557650214,32.301876,17543
India,2011-2016,86.22919560190317,13.770804,259536
India,2017-2022,87.38832536855146,12.611674,232796
Nepal,2011-2016,45.37943186377385,54.620567,10344
Nepal,2017-2022,48.63599806864742,51.364002,5372
Pakistan,2011-2016,28.40201666330173,71.597984,11725
Pakistan,2017-2022,33.13997595175648,66.860023,12708
