country,period,variable,level,usable_pct,unusable_pct,n
All,2011-2016,Child sex,female,82.98084449234906,17.019156,143249
All,2011-2016,Child sex,male,81.98904690059086,18.010954,154995
All,2017-2022,Child sex,female,83.29818712623329,16.701813,129381
All,2017-2022,Child sex,male,83.02438081231996,16.975618,139038
Bangladesh,2011-2016,Child sex,female,88.52503186208946,11.474968,8076
Bangladesh,2011-2016,Child sex,male,87.51235238652244,12.487648,8563
Bangladesh,2017-2022,Child sex,female,67.57474570527336,32.425255,8461
Bangladesh,2017-2022,Child sex,male,67.81327898638281,32.186722,9082
India,2011-2016,Child sex,female,86.83089716982327,13.169103,124478
India,2011-2016,Child sex,male,85.67889426124977,14.321106,135058
India,2017-2022,Child sex,female,87.65781482949942,12.342185,112190
India,2017-2022,Child sex,male,87.13918297959248,12.860817,120606
Nepal,2011-2016,Child sex,female,45.79511842488774,54.20488,4937
Nepal,2011-2016,Child sex,male,44.99457516060725,55.005424,5407
Nepal,2017-2022,Child sex,female,49.34065240807474,50.659348,2529
Nepal,2017-2022,Child sex,male,47.99974169404736,52.000259,2843
Pakistan,2011-2016,Child sex,female,28.73117641665415,71.268822,5758
Pakistan,2011-2016,Child sex,male,28.08581748811014,71.914185,5967
Pakistan,2017-2022,Child sex,female,32.48586324883723,67.514137,6201
Pakistan,2017-2022,Child sex,male,33.79011253658674,66.209885,6507
All,2011-2016,Maternal education,higher,82.79565753529377,17.204342,27740
All,2011-2016,Maternal education,no education,78.84293313300745,21.157066,94846
All,2011-2016,Maternal education,primary,81.78694877338852,18.213051,46567
All,2011-2016,Maternal education,secondary,85.19267653561722,14.807323,129091
All,2017-2022,Maternal education,higher,83.68114518591175,16.318855,36749
All,2017-2022,Maternal education,no education,79.9366801643303,20.06332,60092
All,2017-2022,Maternal education,primary,80.23719995923761,19.7628,38362
All,2017-2022,Maternal education,secondary,85.2190652469593,14.780934,133216
Bangladesh,2011-2016,Maternal education,higher,88.13518214533458,11.864818,1518
Bangladesh,2011-2016,Maternal education,no education,87.03291454604461,12.967086,2920
Bangladesh,2011-2016,Maternal education,primary,87.78574533642737,12.214254,4890
Bangladesh,2011-2016,Maternal education,secondary,88.5290417222233,11.470959,7311
Bangladesh,2017-2022,Maternal education,higher,67.78617933590645,32.213821,3021
Bangladesh,2017-2022,Maternal education,no education,67.93075043637914,32.069248,1191
Bangladesh,2017-2022,Maternal education,primary,68.26407307235736,31.735928,4656
Bangladesh,2017-2022,Maternal education,secondary,67.35072421211345,32.649277,8675
India,2011-2016,Maternal education,higher,85.85227873555981,14.147721,23943
India,2011-2016,Maternal education,no education,85.14352637730586,14.856474,81080
India,2011-2016,Maternal education,primary,86.19048080476387,13.809519,37931
India,2011-2016,Maternal education,secondary,87.04791067668263,12.952089,116582
India,2017-2022,Maternal education,higher,86.81944465367377,13.180555,31730
India,2017-2022,Maternal education,no education,85.98098116204331,14.019019,51189
India,2017-2022,Maternal education,primary,87.20799151003766,12.792008,30075
India,2017-2022,Maternal education,secondary,88.20088105882316,11.799119,119802
Nepal,2011-2016,Maternal education,higher,45.53488488527876,54.465115,1002
Nepal,2011-2016,Maternal education,no education,45.37231119219979,54.627689,4151
Nepal,2011-2016,Maternal education,primary,44.86690137063763,55.133099,2061
Nepal,2011-2016,Maternal education,secondary,45.68827345008305,54.311726,3130
Nepal,2017-2022,Maternal education,higher,54.33009655534081,45.669903,176
Nepal,2017-2022,Maternal education,no education,47.02643947139166,52.97356,1180
Nepal,2017-2022,Maternal education,primary,49.72122687279762,50.278774,1914
